,CTAB-stock,Water-stock,Chloroauric-stock,Ascorbic_Acid-stock,Silver_Nitrate-stock,Gold_Seeds-stock
0,416.0,485.671626984127,256.0,20.015873015873012,20.312499999999996,102.0
1,416.0,467.390376984127,256.0,20.015873015873012,38.59374999999999,102.0
2,416.0,449.109126984127,256.0,20.015873015873012,56.87499999999999,102.0
3,416.0,430.827876984127,256.0,20.015873015873012,75.15624999999999,102.0
4,416.0,412.546626984127,256.0,20.015873015873012,93.43749999999999,102.0
5,416.0,394.265376984127,256.0,20.015873015873012,111.71875,102.0
6,416.0,375.984126984127,256.0,20.015873015873012,129.99999999999997,102.0
7,416.0,357.702876984127,256.0,20.015873015873012,148.28124999999997,102.0
8,416.0,459.7128968253968,256.0,45.974603174603175,20.312499999999996,102.0
9,416.0,441.4316468253968,256.0,45.974603174603175,38.59374999999999,102.0
10,416.0,423.1503968253968,256.0,45.974603174603175,56.87499999999999,102.0
11,416.0,404.8691468253968,256.0,45.974603174603175,75.15624999999999,102.0
12,416.0,386.5878968253968,256.0,45.974603174603175,93.43749999999999,102.0
13,416.0,368.3066468253968,256.0,45.974603174603175,111.71875,102.0
14,416.0,350.0253968253968,256.0,45.974603174603175,129.99999999999997,102.0
15,416.0,331.7441468253968,256.0,45.974603174603175,148.28124999999997,102.0
16,416.0,433.7541666666666,256.0,71.93333333333334,20.312499999999996,102.0
17,416.0,415.4729166666666,256.0,71.93333333333334,38.59374999999999,102.0
18,416.0,397.1916666666666,256.0,71.93333333333334,56.87499999999999,102.0
19,416.0,378.9104166666666,256.0,71.93333333333334,75.15624999999999,102.0
20,416.0,360.6291666666666,256.0,71.93333333333334,93.43749999999999,102.0
21,416.0,342.3479166666666,256.0,71.93333333333334,111.71875,102.0
22,416.0,324.0666666666666,256.0,71.93333333333334,129.99999999999997,102.0
23,416.0,305.7854166666666,256.0,71.93333333333334,148.28124999999997,102.0
24,416.0,407.79543650793653,256.0,97.89206349206349,20.312499999999996,102.0
25,416.0,389.51418650793653,256.0,97.89206349206349,38.59374999999999,102.0
26,416.0,371.23293650793653,256.0,97.89206349206349,56.87499999999999,102.0
27,416.0,352.95168650793653,256.0,97.89206349206349,75.15624999999999,102.0
28,416.0,334.67043650793653,256.0,97.89206349206349,93.43749999999999,102.0
29,416.0,316.38918650793653,256.0,97.89206349206349,111.71875,102.0
30,416.0,298.10793650793653,256.0,97.89206349206349,129.99999999999997,102.0
31,416.0,279.82668650793653,256.0,97.89206349206349,148.28124999999997,102.0
32,416.0,381.83670634920634,256.0,123.85079365079366,20.312499999999996,102.0
33,416.0,363.55545634920634,256.0,123.85079365079366,38.59374999999999,102.0
34,416.0,345.27420634920634,256.0,123.85079365079366,56.87499999999999,102.0
35,416.0,326.99295634920634,256.0,123.85079365079366,75.15624999999999,102.0
36,416.0,308.71170634920634,256.0,123.85079365079366,93.43749999999999,102.0
37,416.0,290.43045634920634,256.0,123.85079365079366,111.71875,102.0
38,416.0,272.14920634920645,256.0,123.85079365079366,129.99999999999997,102.0
39,416.0,253.86795634920645,256.0,123.85079365079366,148.28124999999997,102.0
40,416.0,355.87797619047615,256.0,149.8095238095238,20.312499999999996,102.0
41,416.0,337.59672619047615,256.0,149.8095238095238,38.59374999999999,102.0
42,416.0,319.31547619047615,256.0,149.8095238095238,56.87499999999999,102.0
43,416.0,301.03422619047615,256.0,149.8095238095238,75.15624999999999,102.0
44,416.0,282.75297619047615,256.0,149.8095238095238,93.43749999999999,102.0
45,416.0,264.47172619047615,256.0,149.8095238095238,111.71875,102.0
46,416.0,246.19047619047615,256.0,149.8095238095238,129.99999999999997,102.0
47,416.0,227.90922619047615,256.0,149.8095238095238,148.28124999999997,102.0
