,Water-stock,CTAB-stock,Chloroauric-stock,Ascorbic_Acid-stock,Silver_Nitrate-stock,Gold_Seeds-stock
0,485.671626984127,416.0,256.0,20.015873015873012,20.312499999999996,102.0
1,467.390376984127,416.0,256.0,20.015873015873012,38.59374999999999,102.0
2,449.109126984127,416.0,256.0,20.015873015873012,56.87499999999999,102.0
3,430.827876984127,416.0,256.0,20.015873015873012,75.15624999999999,102.0
4,412.546626984127,416.0,256.0,20.015873015873012,93.43749999999999,102.0
5,394.265376984127,416.0,256.0,20.015873015873012,111.71875,102.0
6,375.984126984127,416.0,256.0,20.015873015873012,129.99999999999997,102.0
7,357.702876984127,416.0,256.0,20.015873015873012,148.28124999999997,102.0
8,459.87797619047615,416.0,256.0,45.8095238095238,20.312499999999996,102.0
9,441.59672619047615,416.0,256.0,45.8095238095238,38.59374999999999,102.0
10,423.31547619047615,416.0,256.0,45.8095238095238,56.87499999999999,102.0
11,405.03422619047615,416.0,256.0,45.8095238095238,75.15624999999999,102.0
12,386.75297619047615,416.0,256.0,45.8095238095238,93.43749999999999,102.0
13,368.47172619047615,416.0,256.0,45.8095238095238,111.71875,102.0
14,350.19047619047615,416.0,256.0,45.8095238095238,129.99999999999997,102.0
15,331.90922619047615,416.0,256.0,45.8095238095238,148.28124999999997,102.0
16,434.0843253968254,416.0,256.0,71.60317460317462,20.312499999999996,102.0
17,415.8030753968254,416.0,256.0,71.60317460317462,38.59374999999999,102.0
18,397.5218253968254,416.0,256.0,71.60317460317462,56.87499999999999,102.0
19,379.2405753968254,416.0,256.0,71.60317460317462,75.15624999999999,102.0
20,360.9593253968254,416.0,256.0,71.60317460317462,93.43749999999999,102.0
21,342.6780753968254,416.0,256.0,71.60317460317462,111.71875,102.0
22,324.3968253968254,416.0,256.0,71.60317460317462,129.99999999999997,102.0
23,306.1155753968254,416.0,256.0,71.60317460317462,148.28124999999997,102.0
24,408.2906746031746,416.0,256.0,97.3968253968254,20.312499999999996,102.0
25,390.0094246031746,416.0,256.0,97.3968253968254,38.59374999999999,102.0
26,371.7281746031746,416.0,256.0,97.3968253968254,56.87499999999999,102.0
27,353.4469246031746,416.0,256.0,97.3968253968254,75.15624999999999,102.0
28,335.1656746031746,416.0,256.0,97.3968253968254,93.43749999999999,102.0
29,316.8844246031746,416.0,256.0,97.3968253968254,111.71875,102.0
30,298.6031746031746,416.0,256.0,97.3968253968254,129.99999999999997,102.0
31,280.3219246031746,416.0,256.0,97.3968253968254,148.28124999999997,102.0
32,382.49702380952385,416.0,256.0,123.19047619047619,20.312499999999996,102.0
33,364.21577380952385,416.0,256.0,123.19047619047619,38.59374999999999,102.0
34,345.93452380952385,416.0,256.0,123.19047619047619,56.87499999999999,102.0
35,327.65327380952385,416.0,256.0,123.19047619047619,75.15624999999999,102.0
36,309.37202380952385,416.0,256.0,123.19047619047619,93.43749999999999,102.0
37,291.09077380952385,416.0,256.0,123.19047619047619,111.71875,102.0
38,272.80952380952385,416.0,256.0,123.19047619047619,129.99999999999997,102.0
39,254.52827380952385,416.0,256.0,123.19047619047619,148.28124999999997,102.0
40,356.703373015873,416.0,256.0,148.984126984127,20.312499999999996,102.0
41,338.422123015873,416.0,256.0,148.984126984127,38.59374999999999,102.0
42,320.140873015873,416.0,256.0,148.984126984127,56.87499999999999,102.0
43,301.859623015873,416.0,256.0,148.984126984127,75.15624999999999,102.0
44,283.578373015873,416.0,256.0,148.984126984127,93.43749999999999,102.0
45,265.297123015873,416.0,256.0,148.984126984127,111.71875,102.0
46,247.015873015873,416.0,256.0,148.984126984127,129.99999999999997,102.0
47,228.734623015873,416.0,256.0,148.984126984127,148.28124999999997,102.0
